"АВТОВСКАЯ УЛ., д.21","249\156","227\185","-9\19"
"АВТОВСКАЯ УЛ., д.22","183,56\148","199,39\165","9\11"
"АВТОВСКАЯ УЛ., д.25","219\133","249\167","14\26"
"АВТОВСКАЯ УЛ., д.26/37","328,34\177","421,09\219","28\24"
"АВТОВСКАЯ УЛ., д.28/30","214\122","100\56","-53\-54"
"АВТОВСКАЯ УЛ., д.29","524\230","559\253","7\10"
"АВТОВСКАЯ УЛ., д.30","124\72","137\80","10\11"
"АВТОВСКАЯ УЛ., д.32","126,06\89","63,449\37","-50\-58"
"АВТОВСКАЯ УЛ., д.34","108\83","74\21","-31\-75"
"АВТОВСКАЯ УЛ., д.38","53\32","74\44","40\38"
"АВТОВСКАЯ УЛ., д.40","383\245","253\175","-34\-29"
"АВТОВСКАЯ УЛ., д.46","109\54","101\53","-7\-2"
"АВТОВСКАЯ УЛ., д.52","194\133","192\145","-1\9"
"БАЛТИЙСКАЯ УЛ., д.2/14","680\371","766,7\413","13\11"
"БАЛТИЙСКАЯ УЛ., д.12","310,4\180","347,26\223","12\24"
"БАЛТИЙСКАЯ УЛ., д.14","218\0","261,44\0","20\-"
"БАЛТИЙСКАЯ УЛ., д.17","16,32\17","9,72\4","-40\-76"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","330,25\193","334,05\180","1\-7"
"БАЛТИЙСКАЯ УЛ., д.18","53\30","52\40","-2\33"
"БАЛТИЙСКАЯ УЛ., д.19А","34,25\14,49","32,83\24,37","-4\68"
"БАЛТИЙСКАЯ УЛ., д.19Б","17,75\7,51","17,01\12,63","-4\68"
"БАЛТИЙСКАЯ УЛ., д.20","31,57\32,07","37,02\37,14","17\16"
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","70\38","85\44","21\16"
"БАЛТИЙСКАЯ УЛ., д.22","24,44\24,93","28,77\28,86","18\16"
"БАЛТИЙСКАЯ УЛ., д.23","8\10","15\7","88\-30"
"БАЛТИЙСКАЯ УЛ., д.24","59,86\102","60,59\90","1\-12"
"БАЛТИЙСКАЯ УЛ., д.25","72,25\0","60,344\0","-16\-"
"БАЛТИЙСКАЯ УЛ., д.27","52,62\0","57,076\0","8\-"
"БАЛТИЙСКАЯ УЛ., д.32А","46,6\29,7","62,6\42,02","34\41"
"БАЛТИЙСКАЯ УЛ., д.32Д","17,72\11,3","23,8\15,98","34\41"
"БАЛТИЙСКАЯ УЛ., д.34","64,74\0","45,65\0","-29\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","183,08\100","235,52\130","29\30"
"БАЛТИЙСКАЯ УЛ., д.38","266\158","251\151","-6\-4"
"БАРРИКАДНАЯ УЛ., д.3","273\130","199\95","-27\-27"
"БАРРИКАДНАЯ УЛ., д.4","108,4\0","90,516\0","-16\-"
"БАРРИКАДНАЯ УЛ., д.34","124\57","117\59","-6\4"
"БЕЛОУСОВА УЛ., д.3","47\23","41\21","-13\-9"
"БЕЛОУСОВА УЛ., д.5","75\41","82\50","9\22"
"БЕЛОУСОВА УЛ., д.6/42","444,99\249","444,99\251","0\1"
"БЕЛОУСОВА УЛ., д.10","67,7\0","75,392\0","11\-"
"БЕЛОУСОВА УЛ., д.14/41","55,24\0","55,237\0","0\-"
"БЕЛОУСОВА УЛ., д.16","131\64","111,22\65","-15\2"
"БЕЛОУСОВА УЛ., д.18","133\68","92\47","-31\-31"
"БЕЛОУСОВА УЛ., д.18, корп.1","220\151","168\121","-24\-20"
"БЕЛОУСОВА УЛ., д.20","114\63","80\48","-30\-24"
"БЕЛОУСОВА УЛ., д.22","1949\742","111,3\38,4","-94\-95"
"БЕЛОУСОВА УЛ., д.24/32","85,54\62","58,24\42","-32\-32"
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","100,94\60","98,98\65","-2\8"
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","32,3\15","33,48\20","4\33"
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","885,43\352","694,51\292","-22\-17"
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","216\122","191\123","-12\1"
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","385\238","255\172","-34\-28"
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","191,25\119","188,2\115","-2\-3"
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","258\197","205,5\161","-20\-18"
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","743,04\480","471,36\351","-37\-27"
"ВАСИ АЛЕКСЕЕВА УЛ., д.24","386\225","368\227","-5\1"
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","378\246","240\170","-37\-31"
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","403,69\296","328,64\258","-19\-13"
"ВАСИ АЛЕКСЕЕВА УЛ., д.28","194\106","223\133","15\25"
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","441,75\248","553,85\332","25\34"
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","835,38\0","750,2\0","-10\-"
"ВОЗРОЖДЕНИЯ УЛ., д.9","71,76\48","35,88\24","-50\-50"
"ВОЗРОЖДЕНИЯ УЛ., д.15","205,92\129","181,17\129","-12\0"
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","635,19\394","476,16\307","-25\-22"
"ВОЗРОЖДЕНИЯ УЛ., д.23","66\31","54\24","-18\-23"
"ВОЗРОЖДЕНИЯ УЛ., д.25","348\206","327\213","-6\3"
"ВОЗРОЖДЕНИЯ УЛ., д.27","242\148","272\166","12\12"
"ГЛАДКОВА УЛ., д.1","127,19\108","101,12\89","-20\-18"
"ГЛАДКОВА УЛ., д.1А","65\34","108\25","66\-26"
"ГЛАДКОВА УЛ., д.7/10","20,4\43","14,64\31","-28\-28"
"ГЛАДКОВА УЛ., д.11","46\27","33\18","-28\-33"
"ГЛАДКОВА УЛ., д.13","31\19","53\26","71\37"
"ГЛАДКОВА УЛ., д.17","206\77","196\63","-5\-18"
"ГЛАДКОВА УЛ., д.19","88\58","87\62","-1\7"
"ГЛАДКОВА УЛ., д.21","112,2\0","93,708\0","-16\-"
"ГЛАДКОВА УЛ., д.23","355\211","240\161","-32\-24"
"ГЛАДКОВА УЛ., д.24/7","201\105","180\94","-10\-10"
"ГЛАДКОВА УЛ., д.25","630\357","539\313","-14\-12"
"ГЛАДКОВА УЛ., д.26","171\85","139\68","-19\-20"
"ГЛАДКОВА УЛ., д.29","194\126","156\113","-20\-10"
"ГЛАДКОВА УЛ., д.31/7","87\0","70\37","-20\-"
"ГЛАДКОВА УЛ., д.33","98\52","91\45","-7\-13"
"ГЛАДКОВА УЛ., д.35","66,7\0","55,708\0","-16\-"
"ГЛАДКОВА УЛ., д.39","12\6","11\5","-8\-17"
"ГЛАДКОВА УЛ., д.41","2\0","24\12","1100\-"
"ГЛАДКОВА УЛ., д.43","22,44\17","38,94\29","74\71"
"ГУБИНА УЛ., д.1/32","322,95\129","270,27\113","-16\-12"
"ГУБИНА УЛ., д.4","101,37\58","81,84\45","-19\-22"
"ГУБИНА УЛ., д.5","125,245\0","118,864\0","-5\-"
"ГУБИНА УЛ., д.6","123\61","90\50","-27\-18"
"ГУБИНА УЛ., д.8","206\69","419\144","103\109"
"ГУБИНА УЛ., д.9, корп.1","48\26","37,6\24","-22\-8"
"ГУБИНА УЛ., д.9, корп.2","31\16","64\32","106\100"
"ГУБИНА УЛ., д.12","124\66","130\67","5\2"
"ГУБИНА УЛ., д.13, корп.1","53,72\39","57,96\35","8\-10"
"ГУБИНА УЛ., д.13, корп.2","66\36","52\30","-21\-17"
"ГУБИНА УЛ., д.14","78\52","76\55","-3\6"
"ГУБИНА УЛ., д.15","46\22","33\18","-28\-18"
"ГУБИНА УЛ., д.18","30\5","32\16","7\220"
"ГУБИНА УЛ., д.19/16","114\80","78\56","-32\-30"
"ГУБИНА УЛ., д.20","151\77","147\72","-3\-6"
"ГУБИНА УЛ., д.21","105\55","84\44","-20\-20"
"ГУБИНА УЛ., д.22/21","66\34","65\36","-2\6"
"ГУБИНА УЛ., д.23/19","140\69","120\60","-14\-13"
"ДВИНСКАЯ УЛ., д.4","451\271","446\275","-1\1"
"ДВИНСКАЯ УЛ., д.4, корп.1","291\174","287\195","-1\12"
"ДВИНСКАЯ УЛ., д.4, корп.2","510\300","531\319","4\6"
"ДВИНСКАЯ УЛ., д.4, корп.3","393\241","402\258","2\7"
"ДВИНСКАЯ УЛ., д.4, корп.4","281\178","274\193","-2\8"
"ДВИНСКАЯ УЛ., д.8","164,43\119","205,74\141","25\18"
"ДВИНСКАЯ УЛ., д.9","287,37\150","277,14\148","-4\-1"
"ДВИНСКАЯ УЛ., д.10","158\100","344,4\270","118\170"
"ДВИНСКАЯ УЛ., д.11","244,36\165","278,08\186","14\13"
"ДВИНСКАЯ УЛ., д.14","265,74\160","301,86\184","14\15"
"ДВИНСКАЯ УЛ., д.14, корп.4","1170\369","1316\390","12\6"
"ДВИНСКАЯ УЛ., д.16, корп.1","3658\1482","3903,42\1749","7\18"
"ДВИНСКАЯ УЛ., д.17","484\253","562\303","16\20"
"ЗАЙЦЕВА УЛ., д.3","367\340","165,6\495","-55\46"
"ЗАЙЦЕВА УЛ., д.17/23","1014,3\486","1057,5\555","4\14"
"ЗАЙЦЕВА УЛ., д.18/16","157,44\86","190,08\103","21\20"
"ЗАЙЦЕВА УЛ., д.19/18","297\174","233\158","-22\-9"
"ЗАЙЦЕВА УЛ., д.20","414\222","449\235","8\6"
"ЗАЙЦЕВА УЛ., д.21","36\21","24\9","-33\-57"
"ЗАЙЦЕВА УЛ., д.22/13","238,76\496","279,83\464","17\-6"
"ЗАЙЦЕВА УЛ., д.25","167\104","102\69","-39\-34"
"ЗАЙЦЕВА УЛ., д.26","103,74\37","103,74\37","0\0"
"ЗАЙЦЕВА УЛ., д.29","62\36","46\28","-26\-22"
"ЗАЙЦЕВА УЛ., д.31","580\327","401\243","-31\-26"
"ЗАЙЦЕВА УЛ., д.32","233\142","213\133","-9\-6"
"ЗАЙЦЕВА УЛ., д.33","331,5\226","312,8\229","-6\1"
"ЗАЙЦЕВА УЛ., д.34","102\51","91\46","-11\-10"
"ЗАЙЦЕВА УЛ., д.36","358\209","354\217","-1\4"
"ЗАЙЦЕВА УЛ., д.37","355\138","246\144","-31\4"
"ЗАЙЦЕВА УЛ., д.39","261\151","279\166","7\10"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","87\64","75\61","-14\-5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","452\307","433\338","-4\10"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","284\189","289\233","2\23"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","459\294","405\281","-12\-4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","277\199","227\188","-18\-6"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","429\300","384\308","-10\3"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","484\241","507\252","5\5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","438\276","418\296","-5\7"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","186\117","170\128","-9\9"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","120\75","90\63","-25\-16"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","310\188","355\252","15\34"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","372\251","319\263","-14\5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","508\292","565\249","11\-15"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","651\383","648\418","0\9"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","184,3\334","182,4\313","-1\-6"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","665,1\256","1060\311","59\21"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","430,35\213","558,3\231","30\8"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","52\35","39\31","-25\-11"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","131,84\98","93,94\27","-29\-72"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","245,52\165","229,2\166","-7\1"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","304\183","220\93","-28\-49"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","152\43","133\43","-13\0"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","93\49","119\61","28\24"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","19\60","49\30","158\-50"
"ИВАНА ЧЕРНЫХ УЛ., д.1","51,33\36","79,17\56","54\56"
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","157\82","211\109","34\33"
"ИВАНА ЧЕРНЫХ УЛ., д.13А","192\118","258\157","34\33"
"ИВАНА ЧЕРНЫХ УЛ., д.13Б","311\200","310\251","0\26"
"ИВАНА ЧЕРНЫХ УЛ., д.15А","338\192","305\178","-10\-7"
"ИВАНА ЧЕРНЫХ УЛ., д.15Б","65\38","56\35","-14\-8"
"ИВАНА ЧЕРНЫХ УЛ., д.19","236\139","218\138","-8\-1"
"КАЛИНИНА УЛ., д.10","213,2\0","178,07\0","-16\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","9788\3645","9070\3441","-7\-6"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","4316,4\1662","4011\1430","-7\-14"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","3015\1305","2670\1080","-11\-17"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","3080\1210","3125\1225","1\1"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","725\365","720\363","-1\-1"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","773\386","757\380","-2\-2"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","588\369","496\342","-16\-7"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","668\394","542\342","-19\-13"
"КАНОНЕРСКИЙ ОСТРОВ, д.15","480,8\0","401,508\0","-16\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","256\135","249\139","-3\3"
"КАНОНЕРСКИЙ ОСТРОВ, д.17","79\28","78\32","-1\14"
"КАНОНЕРСКИЙ ОСТРОВ, д.25","1029\588","1122\545","9\-7"
"КОРНЕЕВА УЛ., д.2","779\424","681,15\379","-13\-11"
"КОРНЕЕВА УЛ., д.6","1411\460","1350,9\325","-4\-29"
"КОСИНОВА УЛ., д.5","147\1","122,816\0","-16\-100"
"КОСИНОВА УЛ., д.7","39,56\20","123,28\15","212\-25"
"КОСИНОВА УЛ., д.9/9","96\61","104\62","8\2"
"КОСИНОВА УЛ., д.14, корп.1","815\481","717\464","-12\-4"
"КОСИНОВА УЛ., д.14, корп.2","601\351","528\381","-12\9"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","814,42\431","817,86\468","0\9"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","134\77","128\79","-4\3"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","154,7\89","81,6\64","-47\-28"
